City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,baoshan,46.5586,131.4244,-8.05,84,92,1.98,CN,1709684437
291,crane,31.3974,-102.3501,23.1,16,69,3.25,US,1709684437
292,stanley,54.868,-1.6985,4.87,94,75,1.54,GB,1709684438
293,cuajinicuilapa,16.4667,-98.4167,27.81,51,0,3.61,MX,1709684438
294,el calafate,-50.3408,-72.2768,11.44,83,100,6.89,AR,1709683964
295,irituia,-1.7711,-47.4381,23.97,97,92,1.19,BR,1709684439
296,edson,53.5835,-116.4356,-12.92,72,100,2.06,CA,1709684439
297,timbuktu,16.7735,-3.0074,24.27,8,1,5.22,ML,1709684439
298,broome,42.2506,-75.833,9.77,94,100,3.09,US,1709683968
299,zeya,53.75,127.2667,-16.4,82,32,0.49,RU,1709684143
300,iskateley,67.6803,53.1512,-20.55,100,99,1.34,RU,1709683854
301,anahuac,27.2333,-100.15,32.07,17,0,1.79,MX,1709684440
302,georgetown,5.4112,100.3354,28.3,83,20,1.54,MY,1709684137
303,ust-nera,64.5667,143.2,-19.93,98,99,2.04,RU,1709684441
304,loango,-4.6719,11.8312,26.66,86,78,0.69,CG,1709684441
305,guantanamo,20.1444,-75.2092,26.76,74,25,1.83,CU,1709684441
306,howrah,22.5892,88.3103,21.0,73,0,3.09,IN,1709683744
307,yasnyy,51.0333,59.8742,-14.99,94,71,3.78,RU,1709684442
308,usogorsk,63.4106,48.6872,-8.52,92,97,1.96,RU,1709684442
309,fortuna,40.5982,-124.1573,12.19,97,40,5.66,US,1709684442
310,touros,-5.1989,-35.4608,26.17,88,89,4.22,BR,1709684444
311,baikonur,45.6167,63.3167,0.04,72,45,2.41,KZ,1709684444
312,abrantes,39.4667,-8.2,8.55,83,13,1.62,PT,1709684444
313,ta`u,-14.2336,-169.5144,28.37,76,41,5.05,AS,1709684445
314,carnarvon,-24.8667,113.6333,27.16,74,2,0.45,AU,1709683958
315,portland,45.5234,-122.6762,8.67,72,20,5.14,US,1709684105
316,olyokminsk,60.3736,120.4264,-14.45,96,100,1.62,RU,1709683908
317,daloa,6.8774,-6.4502,24.79,85,10,1.97,CI,1709684445
318,brookings,44.3114,-96.7984,7.32,47,0,5.14,US,1709684402
319,sao jose da coroa grande,-8.8978,-35.1478,26.63,81,56,1.65,BR,1709684023
320,kirakira,-10.4544,161.9205,28.13,81,100,8.97,SB,1709684446
321,port-vila,-17.7338,168.3219,30.78,74,75,5.14,VU,1709684446
322,nykvarn,59.8,18.3,-0.1,88,6,2.35,SE,1709684447
323,baganga,7.5739,126.56,27.02,79,87,1.37,PH,1709684447
324,luderitz,-26.6481,15.1594,15.71,81,2,3.86,,1709683910
325,srikakulam,18.3,83.9,24.96,66,76,0.37,IN,1709684447
326,igarka,67.4667,86.5833,-10.47,91,100,6.27,RU,1709684448
327,paraiso,9.8383,-83.8656,21.95,94,34,0.96,CR,1709684448
328,lovejoy,33.4362,-84.3144,15.12,97,100,2.06,US,1709684448
329,basco,20.4487,121.9702,25.7,79,2,5.83,PH,1709684448
330,tofol,5.3248,163.0078,28.88,70,100,6.69,FM,1709683925
331,argo,37.6333,22.7333,12.66,76,20,1.72,GR,1709683938
332,smithers,54.7804,-127.1743,-4.72,71,63,0.68,CA,1709683853
333,corralillo,22.9819,-80.5856,25.2,71,79,4.53,CU,1709684449
334,oyama,36.3,139.8,5.33,92,100,4.37,JP,1709683951
335,rizokarpaso,35.6,34.375,15.34,78,30,8.05,CY,1709684450
336,kapuskasing,49.4169,-82.4331,1.0,51,20,1.54,CA,1709684450
337,polovinnoye,54.7914,65.9864,-7.86,96,95,2.81,RU,1709684451
338,la tuque,47.4334,-72.7824,9.14,71,100,1.03,CA,1709684452
339,kabo,7.6994,18.629,26.75,19,81,1.33,CF,1709684452
340,beloyarskiy,63.7119,66.6722,-22.78,98,99,2.68,RU,1709684068
341,mabaruma,8.2,-59.7833,26.2,72,86,2.4,GY,1709684452
342,hasaki,35.7333,140.8333,5.22,85,100,16.58,JP,1709683901
343,purpe,64.4803,76.6897,-17.07,96,100,6.77,RU,1709684453
344,florida,28.7505,-82.5001,23.99,80,40,0.0,US,1709684286
345,heroica caborca,30.7167,-112.15,23.05,21,100,3.95,MX,1709684454
346,walvis bay,-22.9575,14.5053,16.72,73,1,3.14,,1709684105
347,mountain home,43.133,-115.6912,1.71,87,100,5.66,US,1709684454
348,san antonio de pale,-1.4014,5.6325,27.8,79,100,0.99,GQ,1709684454
349,nazira,26.9167,94.7333,15.6,55,5,1.45,IN,1709684454
350,moree,-29.4667,149.85,26.15,48,0,2.84,AU,1709684112
351,quellon,-43.1167,-73.6167,11.2,88,56,2.59,CL,1709684245
352,ceeldheer,3.8488,47.1806,26.72,87,61,4.39,SO,1709684455
353,chibougamau,49.9168,-74.3659,-1.21,93,100,3.6,CA,1709684240
354,zheleznodorozhnyy,55.7503,38.0042,-3.71,98,67,2.1,RU,1709684456
355,sola,-13.8833,167.55,28.1,81,100,6.98,VU,1709684456
356,port moresby,-9.4431,147.1797,28.43,80,100,0.82,PG,1709684355
357,puerto san jose,13.9256,-90.8244,29.03,63,40,5.14,GT,1709683958
358,fauske,67.2588,15.3918,1.02,77,32,3.11,NO,1709684458
359,taksimo,56.3444,114.8794,-15.97,89,100,1.1,RU,1709684458
360,ciudad bolivar,8.1222,-63.5497,33.47,33,43,5.06,VE,1709684459
